-0.600 2.18874170965
-0.575 2.27161144579
-0.550 2.35467056103
-0.525 2.43775269505
-0.500 2.52072161281
-0.475 2.60347317282
-0.450 2.68592027501
-0.425 2.76799624142
-0.400 2.84965052333
-0.375 2.93084539178
-0.350 3.01155602976
-0.325 3.11418641979
-0.300 3.22247460204
-0.275 3.32994801065
-0.250 3.43660115881
-0.225 3.54243697011
-0.200 3.64746702023
-0.175 3.75170122214
-0.150 3.85515970784
-0.125 3.95786279963
-0.100 4.05983538232
-0.075 4.16109859087
-0.050 4.26167901664
-0.025 4.35348406034
0.000 4.44028029294
0.025 4.52750453831
0.050 4.61513003257
0.075 4.703132478
0.100 4.7914931879
0.125 4.8801901525
0.150 4.9692068575
0.175 5.0585245636
0.200 5.1481286076
0.225 5.2380023087
0.250 5.3281324836
0.275 5.4185055231
0.300 5.5091088304
0.325 5.5999313594
0.350 5.690961317
0.375 5.7821882994
0.400 5.8736030484
0.425 5.9651963359
0.450 6.0569596858
0.475 6.1488841424
0.500 6.2409626071
0.525 6.3331877994
0.550 6.4255525666
0.575 6.5180512659
0.600 6.6106768197
0.625 6.7034235122
0.650 6.7962864202
0.675 6.8892601318
0.700 6.9823396724
0.725 7.0755204021
0.750 7.1687979938
0.775 7.2621676227
0.800 7.3556264164
0.825 7.4491706002
0.850 7.5427949201
0.875 7.63649794
0.900 7.7302758946
0.925 7.8241242983
0.950 7.9180432713
0.975 8.0120263603
